date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:36	91838/91838	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:35%20GMT	https://sites.google.com/view/galaxytools	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools.html	(from )
13:14:36	77/77	---MCZ	200	added ('OK')	text/plain	date:Wed,%2021%20Aug%202024%2020:14:35%20GMT	https://sites.google.com/robots.txt		(from )
13:14:37	98533/98533	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://ssl.gstatic.com/atari/images/aristotle-header-dark.jpg	C:/My%20Web%20Sites/gt/ssl.gstatic.com/atari/images/aristotle-header-dark.jpg	(from https://sites.google.com/view/galaxytools)
13:14:37	15014/15014	---M--	200	added ('OK')	text/javascript	etag:%227f22098309695b83%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/gt/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/galaxytools)
13:14:37	91877/91877	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:36%20GMT	https://sites.google.com/view/galaxytools/home	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/home.html	(from https://sites.google.com/view/galaxytools)
13:14:38	425306/425306	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:37%20GMT	https://sites.google.com/view/galaxytools/home/more-sites	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/home/more-sites.html	(from https://sites.google.com/view/galaxytools)
13:14:38	73988/73988	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:37%20GMT	https://sites.google.com/view/galaxytools/ai	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/ai.html	(from https://sites.google.com/view/galaxytools)
13:14:38	222382/222382	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:37%20GMT	https://sites.google.com/view/galaxytools/games	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/games.html	(from https://sites.google.com/view/galaxytools)
13:14:39	78350/78350	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:38%20GMT	https://sites.google.com/view/galaxytools/proxy	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/proxy.html	(from https://sites.google.com/view/galaxytools)
13:14:39	80018/80018	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:38%20GMT	https://sites.google.com/view/galaxytools/credits	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/credits.html	(from https://sites.google.com/view/galaxytools)
13:14:40	80027/80027	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:39%20GMT	https://sites.google.com/view/galaxytools/ticket	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/ticket.html	(from https://sites.google.com/view/galaxytools)
13:14:40	0/0	---M--	302	error ('Found')	application/binary	date:Wed,%2021%20Aug%202024%2020:14:39%20GMT	https://sites.google.com/view/%22https://www.cutercounter.com/%22	C:/My%20Web%20Sites/gt/sites.google.com/view/_https_/www.cutercounter.com/_.a.delayed	(from https://sites.google.com/view/galaxytools)
13:14:40	0/0	---M--	302	error ('Found')	application/binary	date:Wed,%2021%20Aug%202024%2020:14:39%20GMT	https://sites.google.com/view/%22https://www.cutercounter.com/hits.php?id=hrxofqqd&nd=6&style=26%22	C:/My%20Web%20Sites/gt/sites.google.com/view/_https_/www.cutercounter.com/hits.b14f8.delayed	(from https://sites.google.com/view/galaxytools)
13:14:41	68551/68551	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:40%20GMT	https://sites.google.com/view/galaxytools/fun	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/fun.html	(from https://sites.google.com/view/galaxytools)
13:14:41	0/0	---M--	302	error ('Found')	application/binary	date:Wed,%2021%20Aug%202024%2020:14:40%20GMT	https://sites.google.com/view/%22https://static.elfsight.com/platform/platform.js%22	C:/My%20Web%20Sites/gt/sites.google.com/view/_https_/static.elfsight.com/platform/platform.d.delayed	(from https://sites.google.com/view/galaxytools)
13:14:41	0/0	---M--	302	error ('Found')	application/binary	date:Wed,%2021%20Aug%202024%2020:14:40%20GMT	https://sites.google.com/view/%22//st.chatango.com/js/gz/emb.js%22	C:/My%20Web%20Sites/gt/sites.google.com/view/_/st.chatango.com/js/gz/emb.e.delayed	(from https://sites.google.com/view/galaxytools)
13:14:42	67479/67479	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2020:14:41%20GMT	https://sites.google.com/view/galaxytools/%22https://www.cutercounter.com/%22	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/_https_/www.cutercounter.com/_.f.delayed	(from https://sites.google.com/view/galaxytools/home)
13:14:42	67790/67790	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2020:14:41%20GMT	https://sites.google.com/view/galaxytools/%22https://www.cutercounter.com/hits.php?id=hrxofqqd&nd=6&style=26%22	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/_https_/www.cutercounter.com/hits.1014f8.delayed	(from https://sites.google.com/view/galaxytools/home)
13:14:43	67632/67632	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2020:14:42%20GMT	https://sites.google.com/view/galaxytools/%22https://static.elfsight.com/platform/platform.js%22	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/_https_/static.elfsight.com/platform/platform.11.delayed	(from https://sites.google.com/view/galaxytools/home)
13:14:43	67488/67488	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2020:14:42%20GMT	https://sites.google.com/view/galaxytools/%22//st.chatango.com/js/gz/emb.js%22	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/_/st.chatango.com/js/gz/emb.12.delayed	(from https://sites.google.com/view/galaxytools/home)
13:14:44	79880/79880	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:43%20GMT	https://sites.google.com/view/galaxytools/fun/random-game-sports	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/fun/random-game-sports.html	(from https://sites.google.com/view/galaxytools/games)
13:14:44	70547/70547	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:43%20GMT	https://sites.google.com/view/galaxytools/games/subway-surfers	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/games/subway-surfers.html	(from https://sites.google.com/view/galaxytools/games)
13:14:44	70623/70623	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:43%20GMT	https://sites.google.com/view/galaxytools/games/flappy-bird	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/games/flappy-bird.html	(from https://sites.google.com/view/galaxytools/games)
13:14:45	70244/70244	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2020:14:44%20GMT	https://sites.google.com/view/galaxytools/games/geo-dash	C:/My%20Web%20Sites/gt/sites.google.com/view/galaxytools/games/geo-dash.html	(from https://sites.google.com/view/galaxytools/games)
